CardID,JP,KR
"S.C.H.A,L.E","S.C.H.A,L.E","S.C.H.A,L.E"
C-T-001,アロナ,아로나
C-T-001-T1,"[出撃・神秘開放]次の中から1つ選ぶ。
・カードを1枚引く。
・自分の保健室から、[EX-COMBO/アロナ]を持つカードを最大1枚選び、手札に戻す。",[출격・신비 해방] 카드를 1장 뽑는다.
C-T-065,プラナ,프라나
C-T-065-T1,"[出撃・神秘開放]次の中から1つ選ぶ。
・カードを1枚引く。
・自分の保健室から、[EX-COMBO/プラナ]を持つカードを最大1枚選び、手札に戻す。",[출격・신비 해방] 카드를 1장 뽑는다.
X-T-012,新しい生徒さんですよ,새로운 학생분이에요
X-T-012-T1,"自分の保健室から、<シッテムの箱>を最大1枚選び、手札に戻す。
[EX-COMBO/アロナ]自分のデッキをシャッフルした後、上から1枚を見る。その中から、生徒カード最大1枚を選び、コストを支払わずに出撃させる。
[EX-COMBO/プラナ]このカードで見るカードの枚数が、自分の『プラナ』のLvの合計だけ増える。","자신의 '아로나'가 필드에 있어야만 이 카드를 낼 수 있다.
[EX-COMBO / 아로나] 자신의 덱 맨 위의 카드를 본다. 그 카드가 학생 카드일 경우, 코스트를 지불하지 않고 출격시킨다. 학생 이외의 카드일 경우, 그 카드를 패로 가져온다."
X-T-013,お仕事を始める時間です,업무를 시작할 시간입니다
X-T-013-T1,"自分の保健室から、<シッテムの箱>を最大1枚選び、手札に戻す。
[EX-COMBO/プラナ]自分のデッキをシャッフルした後、上から1枚を見る。その中から、プレイ条件を満たしているEXスキルかシャーレカードコスト最大1枚を選び、コストを支払わずにプレイする。(このターン中にすでにシャーレをプレイしていても使用できる。)
[EX-COMBO/アロナ]このカードで見るカードの枚数が、自分の『アロナ』のLvの合計だけ増える。","자신의 '프라나'가 필드에 있어야만 이 카드를 낼 수 있다.
[EX-COMBO / 프라나] 자신의 덱 맨 위의 카드를 본다. 그 카드가 발동 조건을 충족한 EX 스킬 카드 또는 샬레 카드일 경우, 코스트를 지불하지 않고 발동한다. 발동할 수 없는 카드거나, EX스킬 또는 샬레 이외의 카드일 경우, 패로 가져온다. (이번 턴에 이미 샬레 카드를 발동했더라도 발동할 수 있다.)"
対策委員会,対策委員会,대책위원회
C-T-026,小鳥遊ホシノ,타카나시 호시노
C-T-026-T2,[永続]この生徒に+0/+Xする。Xの値は、自分の出撃している<アビドス>の人数とする。,[지속] 이 학생은 +0/+X를 얻는다. X는 필드에 있는 자신의 '아비도스' 학생 수다.
C-T-026-T3,[攻撃]攻撃先の生徒を疲労させる。,[공격] 이 학생에게 공격받은 학생은 피로 상태가 된다.
C-T-026-T4,[自動]他の<アビドス>が攻撃した時、攻撃先の生徒を疲労させる。,"[자동] 다른 '아비도스' 학생이 공격할 때, 공격받은 학생은 피로 상태가 된다."
C-T-026-T5,[お互いのエンドフェイズ]この生徒のHPをX回復する。Xの値は、この生徒のLv×2とする。,[서로의 엔드 페이즈] 이 학생의 HP를 X 회복한다. X는 이 학생의 Lv×2다.
C-T-028,十六夜ノノミ,이자요이 노노미
C-T-028-T1,[出撃・神秘解放]カードを1枚引く。,[출격・신비 해방] 카드를 1장 뽑는다.
C-T-028-T2,[自動]この生徒以外の自分の<アビドス>が出撃または神秘解放した時、カードを1枚引く。,"[자동] 이 학생 이외의 자신의 '아비도스' 학생이 출격 또는 신비 해방할 때, 카드를 1장 뽑는다."
C-T-028-T3,[攻撃・制圧]この生徒と同じエリアの相手のカードすべてにXダメージを与える。Xの値は、この生徒のLv×2とする。,[공격・제압] 이 학생과 같은 에어리어에 있는 상대의 모든 학생과 설치물에게 X 대미지를 준다. X는 이 학생의 Lv×2다.
C-T-027,砂狼シロコ,스나오오카미 시로코
C-T-027-T1,[自動]この生徒または自分の<アビドス>が攻撃された時、この生徒に+X/+0する。Xはこの生徒のLvとする。この修正は永続する。,"[자동] 이 학생 또는 자신의 다른 '아비도스' 학생이 공격받을 경우, 이 학생은 +X/+0을 얻는다. X는 이 학생의 Lv이다. 이렇게 얻은 능력치는 필드에 있는 동안 지속된다."
C-T-027-T2,[出撃・神秘解放]自分のデッキからEXスキルカードを最大1枚選び、手札に加える。,[출격・신비 해방] 자신의 덱에서 EX 스킬 카드 1장을 선택하여 패로 가져온다.
C-T-030,黒見セリカ,쿠로미 세리카
C-T-030-T1,[出撃・神秘解放]相手の保健室のカードを最大X枚まで選んで、持ち主のデッキに戻す。(1枚も戻さなくてもよい。)その後、このターンのエンドフェイズまで、この生徒に+X/+0する。Xの値は、自分の<アビドス>の人数とする。,"[출격・신비 해방] 상대의 보건실에서 카드를 최대 X장까지 선택해 소유자의 덱으로 되돌린다. 그 후, 턴 종료 시까지 이 학생은 +X/+0을 얻는다. X는 필드에 있는 자신의 '아비도스' 학생 수이다."
C-T-030-T2,[自動]自分がシャーレカードかEXスキルカードをプレイした時、このターンのエンドフェイズまで、この生徒に+2/+2する。,"[자동] 자신이 샬레 카드 또는 EX 스킬 카드를 낼 때마다, 이 학생은 턴 종료 시까지 +2/+2을 얻는다."
C-T-029,奥空アヤネ,오쿠소라 아야네
C-T-029-T2,[永続]自分の<アビドス>全員に+0/+Xする。Xの値は、自分の<アビドス>の人数とする。,[지속] 자신의 모든 '아비도스' 학생은 +0/+X를 얻는다. X는 필드에 있는 자신의 '아비도스' 학생 수다.
C-T-029-T3,[自分のエンドフェイズ]自分の、『小鳥遊ホシノ』『砂狼シロコ』『十六夜ノノミ』『黒見セリカ』『奥空アヤネ』がある場合、デッキからシャーレカード1枚を手札に加えてもよい。,"[자신의 엔드 페이즈] 자신의 [타카나시 호시노],[스나오오카미 시로코],  [이자요이 노노미], [쿠로미 세리카], [오쿠소라 아야네] 모두가 필드에 있다면, 덱에서 샬레 카드 1장을 패로 가져올 수 있다."
X-T-031,お仕置きの時間です〜♣,혼날 시간이에요~♣
X-T-031-T1,"相手のカード1つを選び、そのカードと同じエリアの相手のカードすべてに3ダメージを与える。
[EX-COMBO/十六夜ノノミ]このカードのコストは1になる。ダメージを与えた後、相手の保健室のカードを最大3枚まで選び、持ち主のデッキに戻し、シャッフルする。","상대의 학생 또는 설치물 1개를 선택한다. 그 카드와 같은 에어리어에 있는 상대의 모든 학생과 설치물에게 3 대미지를 준다.
[EX-COMBO / 이자요이 노노미]이 카드의 코스트가 1이 된다. 대미지를 준 후, 상대의 보건실에서 카드를 최대 3장까지 선택해 소유자의 덱으로 되돌린 뒤, 덱을 셔플한다."
X-T-030,邪魔よ！,걸리적거리잖아!
X-T-030-T1,"カードを1枚引く。
[EX-COMBO/黒見セリカ]このカードのコストは0になる。次の相手のターンのエンドフェイズまで、自分の<アビドス>全員は、相手のカード効果によって疲労しない。","카드 1장을 뽑는다.
[EX-COMBO / 쿠로미 세리카]이 카드의 코스트가 0이 된다. 상대의 다음 엔드 페이즈까지, 자신의 모든 '아비도스' 학생들은 상대의 효과에 의해선 피로 상태가 되지 않는다."
X-T-028,戦術的鎮圧,전술 진압
X-T-028-T1,"相手のカード1つを選び、そのカードと同じエリアの相手のカードすべてに3ダメージを与える。
[EX-COMBO/小鳥遊ホシノ]次の相手のターンのエンドフェイズまで、それらの生徒は全員、制圧できない。","상대의 학생 또는 설치물 1개를 선택한다. 그 카드와 같은 에어리어에 있는 상대의 모든 학생과 설치물에게 3 대미지를 준다.
[EX-COMBO / 타카나시 호시노] 다음 상대 턴 종료 시까지 그 에어리어의 학생들은 제압할 수 없다."
X-T-027,ドローン召喚：火力支援,드론 소환 : 화력 지원
X-T-027-T1,"相手のカード1つを選び、3ダメージを与える。
[EX-COMBO/砂狼シロコ]このカードのコストは0になる。ダメージを与えた後、カードを1枚引く。","상대의 학생 또는 설치물 1개를 선택한다. 그 대상에게 3 대미지를 준다.
[EX-COMBO / 스나오오카미 시로코] 이 카드의 코스트가 0이 된다. 대미지를 준 후, 카드를 1장 뽑는다."
X-T-029,支援特急便,특급송달: 전투지원품
X-T-029-T1,"自分の保健室から、生徒カード最大1枚を選んで手札に戻す。
[EX-COMBO/奥空アヤネ]自分の手札から、出撃コストが自分の現在の最大コスト以下の<アビドス>を最大1人選び、出撃または神秘解放させる。","자신의 보건실에서 학생을 최대 1명까지 패로 가져올 수 있다.
[EX-COMBO / 오쿠소라 아야네]자신의 패에서, 자신의 현재 코스트 최대치 이하의 출격 코스트를 가진 '아비도스' 학생 1명을 선택해, 출격 또는 신비 해방 시킬 수 있다."
セミナー,セミナー,세미나
C-T-024,早瀬ユウカ,하야세 유우카
C-T-024-T1,[出撃・神秘解放]手札から2枚選んでデッキの一番下に戻し、カードを3枚引く。その後、デッキをシャッフルする。,"[출격・신비 해방]  패에서 카드 2장을 덱으로 되돌리고, 카드를 3장 뽑는다. 그 후, 덱을 셔플한다."
C-T-024-T2,[永続]この生徒が受けるダメージをX軽減する。Xの値は、この生徒のLvとする。,[지속] 이 학생이 받는 모든 피해를 X 줄인다. X는 이 학생의 Lv이다.
C-T-024-T3,[永続]この生徒以外の自分の<ゲーム開発部>または<セミナー>がある場合、この生徒に+0/+1する。,"[지속] 자신의 필드에 이 학생 이외의 '세미나' 또는 '게임개발부'가 있다면, 이 학생은 +0/+1을 얻는다."
C-T-025,生塩ノア,우시오 노아
C-T-025-T1,[出撃・神秘解放]現在のコストが3以下で<セミナー>の生徒、またはコストが3以下の生徒を手札から最大1人選び、出撃させる。,"[출격・신비 해방] 패에서 현재 코스트가 3 코스트 이하인 '세미나' 학생, 또는 3 코스트 이하의 학생 1명을 최대 1명까지 선택해 출격시킨다."
C-T-025-T2,[自分のスタンバイフェイズ]カードを1枚引く。,[자신의 스텐바이 페이즈] 카드를 1장 뽑는다.
C-T-025-T3,[自動]自分の他の<セミナー>が出撃または神秘解放した時、自分のデッキの上から2枚を見る。その中から1枚選び、デッキの一番下に置く。,"[자동] 자신의 다른 '세미나' 학생이 출격 또는 신비 해방할 때마다, 자신의 덱 위에서 카드 2장을 본다. 그중 1장을 선택해, 덱의 맨 아래로 보낸다."
C-T-025-T4,[自動]自分が《書記の採決》または[EX-COMBO/生塩ノア]を持つEXスキルカードをプレイした場合、相手の生徒最大1人を選び、次の相手のターンのエンドフェイズまで、その生徒が受けるダメージは3増える。,"[자동] 자신이 '서기의 결단' 또는 '[EX-COMBO / 우시오 노아]'를 가진 EX스킬 카드를 낼 때마다, 상대의 학생을 최대 1명까지 선택한다. 상대의 다음 엔드 페이즈까지, 그 학생이 받는 대미지가 3 증가한다."
C-T-031,黒崎コユキ,쿠로사키 코유키
C-T-031-T1,この生徒の出撃コストはX少なくなる。Xの値は、自分の<ミレニアム>の数に等しく、コストは0以下にならない。,이 학생의 출격 코스트를 X  감소시킨다. X는 자신의 '밀레니엄'의 숫자이다. (최소 1)
C-T-031-T2,[出撃・神秘解放]自分のデッキの上から1枚を保健室に置く。そのカードが生徒カードの場合、カードを2枚引く。,"[출격・신비 해방] 자신의 덱 위에서 카드 1장을 보건실로 보낸다. 그 카드가 학생 카드라면, 카드를 2장 뽑는다."
C-T-031-T3,[攻撃]自分のデッキの上から1枚を保健室に置く。そのカードが生徒カードの場合、この生徒と同じエリアの相手のカードすべてにXダメージを与える。Xの値は、この生徒のLv×3とする。,"[공격] 자신의 덱 위에서 카드 1장을 보건실로 보낸다. 그 카드가 학생 카드라면, 공격한 대상과 같은 에어리어에 있는 상대의 모든 학생과 설치물에게 X 대미지를 준다. X는 이 학생의 Lv×3이다."
X-T-024,Q.E.D,Q.E.D
X-T-024-T1,"自分の生徒最大1人を選ぶ。その生徒は次の相手のターンのエンドフェイズまで、効果ダメージを受けず、相手のカード効果によって疲労しない。
[EX-COMBO/早瀬ユウカ]選んだ生徒はさらに、次の相手のターンのエンドフェイズまで、戦闘ダメージを受けず、相手のカード効果で選ばれない。","자신의 학생 1명을 선택한다. 그 학생은 상대의 다음 엔드 페이즈까지 효과로 대미지를 받지 않으며, 상대의 효과에 의해서 피로 상태가 되지 않는다.
[EX-COMBO / 하야세 유우카] 선택한 학생은 추가로 상대의 다음 엔드 페이즈까지 전투로 대미지를 받지 않으며, 상대의 효과의 대상이 되지 않는다."
X-T-024-T1-2,"自分の生徒最大1人を選ぶ。その生徒は次の相手のターンのエンドフェイズまで、効果ダメージを受けず、相手のカード効果によって疲労しない。
[EX-COMBO/早瀬ユウカ]選んだ生徒はさらに、次の相手のターンのエンドフェイズまで、戦闘ダメージを受けない。","자신의 학생 1명을 선택한다. 그 학생은 상대의 다음 엔드 페이즈까지 효과로 대미지를 받지 않으며, 상대의 효과에 의해서 피로 상태가 되지 않는다.
[EX-COMBO / 하야세 유우카] 선택한 학생은 추가로 상대의 다음 엔드 페이즈까지 전투로 대미지를 받지 않는다."
X-T-025,記録はスピードが命ですから,기록의 생명은 속도랍니다
X-T-025-T1,"カードを2枚引く。その後、自分の手札1枚を選び、デッキの一番上に置く。
[EX-COMBO/生塩ノア]自分の生徒全員は、このターン、相手の挑発を無視して攻撃できる。","카드 2장을 뽑는다. 그 후, 자신의 패에서 1장을 덱 맨 위에 놓는다.
[EX-COMBO / 우시오 노아] 이번 턴 동안, 자신의 모든 학생들은 상대의 도발을 무시하고 공격할 수 있다."
X-T-026,トリッキーな変数,뜻 밖의 변수
X-T-026-T1,"相手のカード1つを選び、そのカードと同じエリアの相手のカードすべてに3ダメージを与える。
[EX-COMBO/黒崎コユキ]このカードのコストは1になる。カードを選ぶ前に、自分のデッキの上から1枚を保健室に置く。そのカードが生徒カードの場合、このカードが与えるダメージは、3のかわりにそのカードのコストの値になる。この効果で撃破した生徒の数まで、自分のデッキの上のカードを見て、好きな枚数選び、手札に加える。","상대의 학생 또는 설치물 1개를 선택한다. 그 카드와 같은 에어리어에 있는 상대의 모든 학생과 설치물에게 3 대미지를 준다. 
[EX-COMBO / 쿠로사키 코유키]이 카드의 코스트가 1이 된다.  대상을 선택하기 전에, 자신의 덱 위에서 카드 1장을 보건실로 보낸다. 그 카드가 학생 카드라면, 이 카드로 주는 대미지가 3 대신 그 학생의 코스트가 된다. 이 효과로 학생을 격파했다면, 격파한 숫자만큼 덱 위에서 카드를 보고, 그 카드들 중 원하는 만큼 패로 가져온다."
ゲーム開発部,ゲーム開発部,게임개발부
C-T-018,天童アリス,텐도 아리스
C-T-018-T1,[攻撃]この生徒と同じエリアの相手のカードすべてに2ダメージを与える。,[공격] 이 카드와 같은 라인에 있는 상대의 모든 학생과 설치물에게 2 대미지를 준다.
C-T-018-T2,[自分のエンドフェイズ]この生徒以外の自分の<ミレニアム>が3つ以上ある場合、デッキから《天童アリス》1枚をこの生徒に神秘解放する。,"[자신의 엔드 페이즈] 이 학생 이외의 자신의 '밀레니엄' 학생이 3명 이상 필드에 있다면, 덱에서 '텐도 아리스' 1장을 선택해 이 학생에 신비 해방한다."
C-T-018-T3,[Lv3 自動]自分が《世界の 法則が 崩壊します！》をプレイした時、カードを2枚引き、このターン、この生徒に+5/+5する。,"[Lv.3 ~ 자동] 자신이  '밸런스 붕괴' 카드를 낼 때, 카드를 2장 뽑고 이번 턴 동안 이 학생은 +5/+5를 얻는다."
C-T-021,才羽モモイ,사이바 모모이
C-T-021-T1,[出撃・神秘解放]相手の生徒を1人選び、疲労させる。,[출격・신비 해방] 상대의 학생 1명을 선택한다. 그 학생은 피로 상태가 된다.
C-T-021-T2,[永続]自分の『才羽ミドリ』がある場合、この生徒に+2/+0する。,"[지속] 자신의 '사이바 미도리'가 필드에 있다면, 이 학생은 +2/+0을 얻는다."
C-T-021-T3,[自分のエンドフェイズ]自分の『才羽ミドリ』がある場合、デッキから《才羽モモイ》1枚をこの生徒に神秘解放する。,"[자신의 엔드 페이즈] 자신의 '사이바 미도리'가 필드에 있다면, 덱에서 '사이바 모모이' 1장을 선택해 이 학생에 신비 해방한다."
C-T-021-T4,[Lv3 攻撃・制圧]自分の手札から、コストが6以下の<ミレニアム>を最大1人出撃または神秘解放する。,[Lv.3 ~ 공격 ・ 제압] 자신의 패에서 6 코스트 이하의 '밀레니엄' 학생 1명을 출격시킬 수 있다.
C-T-020,才羽ミドリ,사이바 미도리
C-T-020-T1,[出撃・神秘解放]自分の生徒を1人選び、HPをすべて回復する。,[출격・신비 해방] 자신의 학생 1명을 선택한다. 그 학생의 HP를 최대치까지 회복시킨다.
C-T-020-T2,[永続]自分の『才羽モモイ』がある場合、この生徒に+0/+2する。,"[지속] 자신의 '사이바 모모이'가 필드에 있다면, 이 학생은 +0/+2를 얻는다."
C-T-020-T3,[自分のエンドフェイズ]自分の『才羽モモイ』がある場合、デッキから《才羽ミドリ》1枚をこの生徒に神秘解放する。,"[자신의 엔드 페이즈] 자신의 '사이바 모모이'가 필드에 있다면, 덱에서 '사이바 미도리' 1장을 선택해 이 학생에 신비 해방한다."
C-T-020-T4,[Lv3 攻撃・制圧]自分の手札から、プレイ条件を満たしているシャーレカード最大1枚をプレイしてもよい。(このターン中にすでにシャーレカードをプレイしていても使用できる。),[Lv.3 ~ 공격 ・ 제압] 자신의 패에서 발동 조건을 충족한 샬레 카드 1장을 발동할 수 있다. (이번 턴에 이미 샬레 카드를 발동했더라도 발동할 수 있다.)
C-T-019,花岡ユズ,하나오카 유즈
C-T-019-T1,[攻撃・制圧]このカードと同じエリアの相手のカード1つを選び、3ダメージを与える。,[공격] 이 카드와 같은 에어리어에 있는 상대 학생을 1명 선택한다. 그 학생에게 3 대미지를 준다.
C-T-019-T2,[自分のエンドフェイズ]この生徒以外の自分の<ゲーム開発部>がある場合、デッキから《花岡ユズ》1枚をこの生徒に神秘解放する。,"[자신의 엔드 페이즈] 이 학생 이외의 '게임개발부' 학생이 필드에 있다면, 덱에서 '하나오카 유즈' 1장을 선택해 이 학생에 신비 해방한다."
C-T-019-T3,[Lv3 永続]自分の<ゲーム開発部>が受ける効果ダメージを2減らす。,[Lv3 ~ 지속] 자신의 '게임개발부' 학생이 받는 효과 대미지를 2 줄인다.
X-T-007,生みの苦しみ,창작의 고통
X-T-007-T1,"相手のカード1つを選び、そのカードと同じエリアの相手のカードすべてに1ダメージを与える。
[EX-COMBO/才羽モモイ]このカードが与えるダメージは1増える。さらに、選んだカードが生徒なら、その生徒を疲労させる。
[EX-COMBO/才羽ミドリ]このカードが与えるダメージは1増える。","상대의 학생 또는 설치물 1개를 선택한다. 그 카드와 같은 에어리어에 있는 상대의 모든 학생과 설치물에게 1 대미지를 준다. 
[EX-COMBO / 사이바 모모이]이 카드로 주는 대미지가 1 증가한다. 학생을 대상으로 했다면, 그 학생은 피로 상태가 된다.
[EX-COMBO / 사이바 미도리]이 카드로 주는 대미지가 1 증가한다."
X-T-006,ドローイングアート,드로잉 아트
X-T-006-T1,"相手のカード1つを選び、3ダメージを与える。
[EX-COMBO/才羽ミドリ]このカードが与えるダメージは1増える。ダメージを与えた後、自分の保健室の生徒カード最大3枚を選び、持ち主のデッキに戻した後、デッキをシャッフルする。
[EX-COMBO/才羽モモイ]このカードが与えるダメージは1増える。","상대의 학생 또는 설치물 1개를 선택한다. 그 대상에게 3 대미지를 준다.
[EX-COMBO / 사이바 미도리]이 카드로 주는 대미지가 1 증가한다. 대미지를 준 후, 자신의 보건실에서 카드를 최대 3장까지 선택해 소유자의 덱으로 되돌린 뒤, 덱을 셔플한다.
[EX-COMBO / 사이바 모모이]이 카드로 주는 대미지가 1 증가한다."
X-T-005,ゲームスタート！,"게임, 스타트!"
X-T-005-T1,"相手のカード1つを選び、4ダメージを与える。
[EX-COMBO/花岡ユズ]自分の『花岡ユズ』全員は、次の相手のターンのエンドフェイズまで、攻撃されない。","상대의 학생 또는 설치물 1개를 선택한다. 그 대상에게 4 대미지를 준다.
[EX-COMBO / 하나오카 유즈] 자신의 '하나오카 유즈'는 다음 상대 턴 종료 시까지 공격받지 않는다."
X-T-004,世界の 法則が 崩壊します！,밸런스 붕괴
X-T-004-T1,"相手のカード1つを選び、そのカードと同じエリアの相手のカードすべてに4ダメージを与える。
[EX-COMBO/天童アリス]このカードのコストは2になる。このカードが与えるダメージは6になる。","상대의 에어리어 1개를 선택한다. 그 에어리어에 있는 모든 학생에게 4 대미지를 준다.
[EX-COMBO / 텐도 아리스] 이 카드의 코스트가 2가 된다. 이 카드로 주는 대미지가 6이 된다."
ティーパーティー,ティーパーティー,티파티
C-T-043,百合園セイア,유리조노 세이아
C-T-043-T1,このカードの出撃コストはX減る。Xの値は、自分の場の<ティーパーティー>の数とする。,이 카드의 출격 비용을 X 감소시킨다. X의 값은 자신의 장소의 '티파티'의 숫자.
C-T-043-T2,[出撃]自分のデッキの上から3枚を見る。そのうち1枚を手札に、1枚をデッキの一番上に、残りの1枚をデッキの一番下に置く。,"[출격]자신의 덱 위에서 3장을 본다. 그 중 1장을 패에, 1장을 덱의 맨 위에, 나머지 1장을 덱의 맨 아래에 둔다."
C-T-043-T3,[Lv2 神秘解放]自分のデッキからカード最大1枚を選び、デッキの一番上に置く。,"[Lv.2 ~ 신비 해방] 덱에서 카드 1장을 선택하고 덱을 섞은 뒤, 선택한 카드를 덱 맨 위에 놓는다."
C-T-043-T4,[Lv3 神秘解放]自分のデッキからカード最大1枚を選び、手札に加える。,[Lv.3 ~ 신비 해방] 자신의 덱에서 카드를 1장 선택하여 패로 가져온다.
C-T-042,聖園ミカ,미소노 미카
C-T-041,桐藤ナギサ,키리후지 나기사
C-T-041-T1,[永続]この生徒を含む自分の<トリニティ>の生徒すべてに+X/+Xする。Xの値は、この生徒のLvとする。,[지속] 자신의 '트리니티' 학생들은 +X/+X를 얻는다. X는 이 학생의 Lv이다.
C-T-041-T2,[自分のエンドフェイズ]自分の生徒最大1人を選び、HPをすべて回復する。この効果で<ティーパーティー>を選んだ場合、カードを1枚引く。,"[자신의 엔드 페이즈] 자신의 학생 1명을 선택한다. 그 학생의 HP를 최대치까지 회복시킨다. '티파티' 학생을 선택했다면, 카드를 1장 뽑는다."
X-T-042,Kyrie Eleison,Kyrie Eleison
